y8j	Tule Mod	CN		20	45.55	120.86667	0
y8k	Sümber	MN		06	47.65858	118.51014	0
y8h	Eren Gobi	CN		20	46.18333	118.3	0
y8n	Ulanhot	CN		20	46.08333	122.08333	165846
204	Waitangi	NZ		10	-43.95353	-176.55973	300
y8m	Yirshi	CN		20	47.3	119.75	0
vgn	Verkhneimbatsk	RU	Verkhneimbatsk Airport		63.15599823	87.97399902	0
vgd	Krasnoselkup	RU	Krasnoselkup Airport	KKQ	65.717	82.455	0
vgy	Svetlogorsk	RU		91	66.93762	88.35265	1398
vgv	Igarka	RU		91	67.4655	86.6027	7470
vgw	Turukhansk	RU		91	65.79479	87.95006	4774
vg6	Tolka	RU	Tolka Airport		63.99000168	82.05000305	0
dr3	Williamsport	US	081	PA	41.24119	-77.00108	29381
sj6	El Golea Airport	DZ	El Golea Airport	ELG	30.57130051	2.859590054	0
yf0	Neryungri	RU		63	56.66637	124.63825	66320
yf3	Aldan	RU		63	58.61021	125.39613	24426
692	Limay Mahuida	AR	42091	11	-37.15959	-66.67595	0
693	Chacharramendi	AR	Chacharramendi Airport		-37.34059906	-65.646698	0
690	Villa Regina	AR	62042	16	-39.1	-67.06667	31209
691	Choele Choel	AR	62014	16	-39.26667	-65.68333	9791
696	Santa Rosa	AR	42021	11	-36.61667	-64.28333	111424
697	Coronel Suárez	AR	06203	01	-37.45467	-61.93343	27000
694	General San Martín	AR	42077	11	-37.97904	-63.60449	2846
695	Bahía Blanca	AR	06056	01	-38.71959	-62.27243	276546
698	Santa Isabel	AR	42049	11	-36.22724	-66.9424	2493
699	Victorica	AR	42098	11	-36.21505	-65.43586	6565
v89	Zhayrem	KZ	Sary Su Airport	HRC	48.3974	70.1915	0
v88	Shubarköl	KZ		12	48.88222	68.80722	1247
v85	Dzhaman Kuduk Airfield	KZ	Dzhaman Kuduk Airfield		46.34700012	72.81999969	0
v86	Zhambyl	KZ		12	47.20694	71.39694	1336
v82	Zhezqazghan	KZ		12	47.78333	67.76667	104357
yfg	Pokrovsk	RU		63	61.47768	129.13699	9763
63u	Lolol	CL	Palo Alto Airport		-34.73305511	-71.7408371	0
yfu	Mayya	RU		63	61.73824	130.28161	6794
yfv	Amga	RU		63	60.90009	131.97882	6151
yfx	Ust-Maya	RU		63	60.41553	134.54405	3062
69r	Villa Gesell	AR	06868	01	-37.26394	-56.97304	23257
69s	Nueve de Julio	AR	06588	01	-35.44437	-60.88313	34718
69p	Mar del Plata	AR	06357	01	-38.00228	-57.55754	553935
69q	Maipú	AR	06511	01	-36.86274	-57.88094	0
69v	Luján	AR	06497	01	-34.57028	-59.105	81749
69w	Dolores	AR	06238	01	-36.31321	-57.67918	25190
69t	Veinticinco de Mayo	AR	06854	01	-35.4323	-60.17271	24668
69u	Pergamino	AR	06623	01	-33.88995	-60.57357	87652
69z	San José de Mayo	UY		16	-34.3375	-56.71361	36529
v8d	Qarazhal	KZ		12	48.00684	70.78918	13807
69x	San Clemente del Tuyú	AR	06420	01	-36.35694	-56.72351	11174
69y	Buenos Aires	AR		07	-34.61315	-58.37723	13076300
69c	Justo Daract	AR	74035	19	-33.8594	-65.18277	9680
69f	Laboulaye	AR	14084	05	-34.12662	-63.39119	19908
69g	Rufino	AR	82042	21	-34.26827	-62.71262	18361
69d	General Pico	AR	42105	11	-35.65662	-63.75682	57029
69e	Tres Lomas	AR	06847	01	-36.45722	-62.86047	0
69j	Tres Arroyos	AR	06833	01	-38.37394	-60.27978	47136
69k	Laprida	AR	06448	01	-37.54415	-60.79969	0
69h	Coronel Dorrego	AR	06189	01	-38.71867	-61.28733	11644
v8v	Qarqaraly	KZ		12	49.41287	75.47286	8195
69n	Necochea	AR	06581	01	-38.5545	-58.73961	80478
v8p	Taldykorgan	KZ		01	45.01556	78.37389	116558
v8s	Aqshataū	KZ		12	47.98917	74.0575	4899
69m	Tandil	AR	06791	01	-37.32167	-59.13316	104325
wt0	Changsha	CN	1815551	11	28.19874	112.97087	3093980
wt1	Zhuping	CN		03	29.01161	114.47482	0
wt2	Xiantao	CN		12	30.3708	113.44294	239406
wt3	Wuhan	CN		12	30.58333	114.26667	9785388
wt4	Nanchang	CN		03	28.68396	115.85306	2357839
